SEQN,RIAGENDR,RIDAGEYR,RIDRETH3,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDFMPIR
98050,2,27,3,96446.76299,0,2,146,1.41
98051,1,9,3,84207.81244,92334.20304,1,141,3.25
98052,2,26,4,41745.17632,40995.30094,2,134,NA
98053,1,57,6,19492.58746,0,2,138,5
98054,1,43,3,31925.83259,34415.40129,1,142,1.67
98055,2,0,1,6209.562634,6414.845243,2,136,2.02
98056,2,34,3,65799.69831,72833.33949,1,142,1.82
98057,1,21,1,37431.02155,38188.30702,2,146,NA
98058,2,80,1,27492.93798,29594.23304,1,148,1.63
98059,2,0,3,6564.035278,6141.929477,2,139,2.14
98060,1,80,3,11203.14015,11665.50907,1,140,1.66
98061,1,19,4,10541.00673,12656.13326,2,145,3.3
98062,2,80,3,21686.11071,24368.89406,1,142,2.92
98063,2,3,2,22900.91454,24588.90658,1,139,0.41
98064,1,10,3,57451.37544,0,1,145,2.64
98065,2,29,7,49477.34669,49054.19489,1,146,0.81
98066,1,19,1,35662.40291,37990.50774,1,148,1.09
98067,1,36,6,16317.80995,0,2,145,NA
98068,2,14,1,30992.21442,33638.06962,1,136,1.91
98069,2,2,3,18523.2804,19621.41595,1,136,3.79
98070,1,4,4,4746.786152,4752.397481,2,148,0.74
98071,2,61,3,207137.5126,216961.0841,2,143,5
98072,1,6,4,10960.89707,13930.78298,2,145,0.68
98073,2,23,2,26230.62208,25934.61389,1,135,0.16
98074,1,2,1,17211.0243,23882.79986,1,135,1
98075,2,66,3,187684.1212,192913.7401,1,141,5
98076,2,2,3,24185.10779,25113.12282,1,146,5
98077,1,31,3,120816.8072,127577.2376,2,141,2.88
98078,2,9,3,39256.96931,0,1,147,5
98079,1,11,7,10187.64247,10675.80553,1,136,5
98080,1,5,4,10295.49531,11359.5138,1,136,0.78
98081,1,56,4,16994.01902,16258.80384,1,140,0.81
98082,2,46,3,37131.67235,37858.47247,1,135,0.44
98083,2,54,4,42276.46089,45896.43524,2,142,NA
98084,2,80,3,26051.00791,28995.01268,1,137,1.42
98085,1,59,2,28988.06052,29358.51078,1,148,5
98086,2,80,3,46070.83389,0,2,145,1.18
98087,2,74,3,81101.59588,90248.43165,2,141,2.97
98088,1,33,3,85838.21661,102800.053,1,135,5
98089,1,7,6,9042.59032,9475.885706,2,138,1.99
98090,2,11,4,11612.37606,11836.12496,2,144,0.6
98091,2,3,3,25100.45335,24949.44196,2,140,0.3
98092,1,41,1,36415.98407,36781.13317,2,136,2.89
98093,1,7,6,8075.076174,8569.179577,2,138,4.58
98094,2,45,1,39906.17313,44047.5863,1,148,1.91
98095,2,80,3,29717.5611,33401.16735,2,141,1.89
98096,2,36,2,28311.30526,29808.03086,2,134,NA
98097,1,29,3,170714.3603,185712.6553,2,143,NA
98098,2,3,4,23373.8077,24050.6053,1,143,1.29
98099,1,54,3,33956.36089,35718.76006,1,137,NA
98100,1,33,3,217494.1566,217665.4683,2,147,5
98101,1,48,6,17655.19926,17904.84389,2,137,NA
98102,2,35,6,18605.45338,18414.21606,1,141,3.86
98103,1,37,4,35950.83393,38211.65381,2,144,0.34
98104,1,3,6,12381.02783,16390.02426,1,136,4.41
98105,1,1,7,15545.07996,16009.26349,1,140,0.2
98106,2,76,2,13995.70867,13590.96261,1,140,1.54
98107,1,61,1,6305.529981,6751.973029,2,144,NA
98108,1,1,7,16342.643,16159.4307,2,136,5
98109,1,77,6,14659.78224,16405.33058,1,144,NA
98110,1,74,6,15297.99457,16596.69447,2,134,5
98111,2,19,7,7703.718713,8540.124533,1,144,2.45
98112,2,4,3,23986.13491,24219.52647,2,142,0.87
98113,2,25,3,89739.45674,90876.60064,1,135,0.91
98114,2,52,4,21070.2625,22882.77452,2,135,0.66
98115,2,4,7,19130.14035,21183.38141,2,144,1.2
98116,1,5,3,24990.29662,26899.7709,1,140,3.67
98117,2,8,4,9886.430362,10160.21686,1,147,NA
98118,1,7,3,85533.81009,92036.60329,1,138,3.85
98119,2,30,3,110225.1921,109723.7645,2,142,1.93
98120,2,41,3,226432.7318,228798.1919,2,144,4.09
98121,1,73,3,9511.817307,9951.446966,1,140,2.77
98122,1,14,4,11611.5003,12244.59561,2,145,0.88
98123,1,4,7,17492.21194,17516.20561,2,140,5
98124,1,31,3,65196.86528,68275.01967,1,143,1.17
98125,2,76,3,75532.11925,83756.96234,1,144,5
98126,1,80,3,8850.719042,0,2,141,NA
98127,2,64,3,33442.05476,0,1,142,1.66
98128,2,9,6,10205.3036,13783.29903,1,137,1.06
98129,2,14,6,18920.23941,21932.15986,1,137,1.79
98130,1,68,3,22763.17752,22528.7279,2,139,1.61
98131,2,40,4,4808.418923,4884.460611,2,145,NA
98132,1,15,1,29040.49656,30336.65432,2,147,0.76
98133,2,80,3,30017.34626,34145.13893,2,142,2.88
98134,1,62,1,6640.335426,6924.161404,1,135,2.2
98135,2,42,3,57575.8053,66114.24542,1,147,0.69
98136,2,0,7,11062.91902,11197.85277,1,134,NA
98137,2,78,6,9422.905523,10274.78912,1,144,NA
98138,1,40,6,23450.7659,23947.94385,1,138,0.56
98139,1,60,1,9418.618689,9597.753315,1,138,2
98140,2,2,7,18000.88272,18110.8948,2,145,4.08
98141,2,56,1,15019.30552,14702.28772,2,148,NA
98142,1,65,4,15333.12623,15980.78682,1,144,NA
98143,2,80,3,16944.71122,18493.87118,1,136,1.84
98144,2,45,3,156459.118,162321.4924,2,145,2.43
